title,price,actual_price,rating,discount,brand,url
,,,,,,https://www.amazon.in/b?node=27984329031&pd_rd_w=kCNgT&content-id=amzn1.sym.e1a9690d-c4fc-49ee-aa2d-152003d4d1bc:amzn1.sym.e1a9690d-c4fc-49ee-aa2d-152003d4d1bc&pf_rd_p=e1a9690d-c4fc-49ee-aa2d-152003d4d1bc&pf_rd_r=2XVERJWWQS3GYW0W94VJ&pd_rd_wg=nyo9h&pd_rd_r=c55e220a-b106-4d08-9983-fd6e7acd54d3&qid=1756363738&ref_=sxts_spkl_1_0_e1a9690d-c4fc-49ee-aa2d-152003d4d1bc
,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDMzMzUyNzY4NTg4MzgxOjE3NTYzNjM3Mzg6c3BfYXRmOjMwMDM0NjEwMzgyNjQzMjo6MDo6&url=%2FIFB-Automatic-MBN-8012-Inverter%2Fdp%2FB0DCNVBFCL%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%26qid%3D1756363738%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=ffvzZ3GVcX&sp_cr=ZAZ
,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDMzMzUyNzY4NTg4MzgxOjE3NTYzNjM3Mzg6c3BfYXRmOjMwMDM0NTE2OTU1MjQzMjo6MDo6&url=%2FIFB-Automatic-SERENA-GXN-7012%2Fdp%2FB0DFLL8FND%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%26qid%3D1756363738%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=DIJYz8tCwP&sp_cr=ZAZ
,,,,,,https://www.amazon.in/Whirlpool-MAGIC-CLEAN-7-0-GENX/dp/B0DSBRDRDV/ref=sr_1_3?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-3
Ionstar 7 Kg Semi Automatic Washing Machine - 5 Star Rated - 2025 - Top Load - Jet Pulsator - Magic Filter - Special Air Dryer - Buzzer - Wheels - Powerful Copper Motor - 1500 RPM (STAR70-AQUA-G),"₹6,690.00","₹17,990",,-63%,Visit the IONSTAR Store,https://www.amazon.in/Ionstar-Semi-Automatic-Washing-Machine/dp/B0DXQ5V717/ref=sr_1_4?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-4
"Godrej 7 Kg 5 Star, AI Powered, Fabrisafe Steel Drum, Magic Lint Filter, Fills Tub At ~0 Water Pressure, Fully-Automatic Top Load Washing Machine (WTEON ALP 70 5.0 FDUN GPGR, Graphite Grey)","₹13,990.00",,,,Visit the Godrej Store,https://www.amazon.in/Godrej-Fully-Automatic-WTEON-FDUN-GPGR/dp/B0F3DBMCBQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-5
"Bosch 9Kg, 5 Star, AI Acitve Water+, Anti Stain, Iron Steam Assist, Anti Tangle Fully-Automatic Front Loading Washing Machine (WGA2420SIN, In-Built Heater, Allergy Plus, Anti Wrinkle, Dark Silver)","₹38,990.00","₹52,190",,-25%,Visit the Bosch Store,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzU5Mzc1MjY0MTAxMjk0OjE3NTYzNjM3Mzg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDY3NTQzNDA2NDEzMjo6MDo6&url=%2FBosch-Fully-Automatic-Loading-Washing-WGA2420SIN%2Fdp%2FB0F4K3TK8S%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%253Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%26cv_ct_cx%3Dwashing%2Bmachine%26keywords%3Dwashing%2Bmachine%26pd_rd_i%3DB0F4K3TK8S%26pd_rd_r%3D7d537490-b0ff-40c1-887d-2a5344b112df%26pd_rd_w%3Dylmn5%26pd_rd_wg%3DZNEIh%26pf_rd_p%3D739e670d-dfb3-4be0-9815-d8c5c0372e07%26pf_rd_r%3D2XVERJWWQS3GYW0W94VJ%26qid%3D1756363738%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&sp_cr=ZAZ
"Whirlpool 8 Kg 5 Star Inverter Supreme Care Front Load Fully Automatic Washing Machine with In-Built Heater (XS8014BWME, MidNight Grey, Steam Technology, 100+ Tough Stains, 6th Sense Soft Move)","₹28,990.00","₹37,550",,-23%,Visit the Whirlpool Store,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzU5Mzc1MjY0MTAxMjk0OjE3NTYzNjM3Mzg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU1MDgzMTA1NzMzMjo6Mjo6&url=%2FWhirlpool-Inverter-Automatic-XS8014BWME-Technology%2Fdp%2FB0F24G847Q%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%253Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%26cv_ct_cx%3Dwashing%2Bmachine%26keywords%3Dwashing%2Bmachine%26pd_rd_i%3DB0F24G847Q%26pd_rd_r%3D7d537490-b0ff-40c1-887d-2a5344b112df%26pd_rd_w%3Dylmn5%26pd_rd_wg%3DZNEIh%26pf_rd_p%3D739e670d-dfb3-4be0-9815-d8c5c0372e07%26pf_rd_r%3D2XVERJWWQS3GYW0W94VJ%26qid%3D1756363738%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&sp_cr=ZAZ
"LG 7 Kg 5 Star Wind Jet Dry Semi-Automatic Top Loading Washing Machine (P7020NGAZ, Dark Gray, Rat Away Feature)","₹11,490.00","₹16,090",,-29%,Visit the LG Store,https://www.amazon.in/LG-P7020NGAZ-Fully-Automatic-Washing-Machine/dp/B09DD573SY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-6
Semi Automatic Folding 2kg Top Loading Mini Washing Machine with Dryer Deep Cleaning for Underwear Washing Machine Clothes Washer,"₹1,499.00","₹2,499",,-40%,Brand: Sealegend,https://www.amazon.in/Automatic-Mini-Washing-Cleaning-Underwear/dp/B0FLY6W8Z9/ref=sr_1_7?dib=eyJ2IjoiMSJ9.MIytOUgorLzgyrtRRmVFyrXO9QLuUna13h0Uz5GifefUSF7ooDrk6vXHZwmL70-TBcnkN0OLzH_mTwp8ijqkSeW5w_qS0KL4IDibc9R-QRmauqxLa52weKEGsb_GsK3Xx2CAVoTsrMqsecrwpj4hC0SSLj-0cZSaYKS4XBbae-QvPMWSREiFDSlXPmxlu4udDcB943ZscUBo-sWEvkh4J2R-FWALN_GNxZr4GIPygwI.8QxlbKFf9sO05IYHbt3MVhvGPc1Tavl9urs05TFaHhI&dib_tag=se&keywords=washing+machine&qid=1756363738&sr=8-7
