title,url,brand,capacity (Kilograms),colour,special feature,price,mrp,rating,reviews,discount (%),depth (Centimeters),width (Centimeters),height (Centimeters)
"IFB 8 Kg 5 Star Powered by AI with 9 Swirl Wash, WiFi, Fully Automatic Front Load Washing Machine (Senator MBN 8012, Steam Refresh Program with Eco Inverter, Mocha)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODI5NTg4NDA2NjY2ODg4OjE3NTU4NDMwOTQ6c3BfYXRmOjMwMDM0NjEwMzgyNjQzMjo6MDo6&url=%2FIFB-Automatic-MBN-8012-Inverter%2Fdp%2FB0DCNVBFCL%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.BbLCQ_haOAIjuaBilY7hpuGJ1yvdbx41HltUgerfhTU6dlxAMvIYmGhCL5Eqml0JHINbf0o1-9Th6enUIRP05-He6C29R1BdC415WWrrmBMXpSesjacsNbO8ToGfZhgZlQldKjWVL3xM4WjjJbOSB5v79xvJp8cTmdKczvvHlbY4oOPYnV3LRX_VUUOvr4wxmHkUrn3G2LeZWt7IKcVi8Pk1EjNAhHuAQXtzreYkryI.sau7dTC_nqw5PoB5kmVpEEzQ2TRHMKe_JhJ8bVTb9so%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%26qid%3D1755843094%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=ZAZ,IFB,8,Mocha,Auto Restart,35490,46190,4,1357,23,62.1,59.8,87.5
"IFB 6 Kg 5 Star Powered by AI with 9 Swirl Wash, Fully Automatic Front Load Washing Machine (DIVA GXN 6010, Steam Refresh Program with Eco Inverter, Grey)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODI5NTg4NDA2NjY2ODg4OjE3NTU4NDMwOTQ6c3BfYXRmOjMwMDQzOTUwMjc2MTQzMjo6MDo6&url=%2FIFB-Automatic-DIVA-GXN-6010%2Fdp%2FB0DFLT2Q9W%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.BbLCQ_haOAIjuaBilY7hpuGJ1yvdbx41HltUgerfhTU6dlxAMvIYmGhCL5Eqml0JHINbf0o1-9Th6enUIRP05-He6C29R1BdC415WWrrmBMXpSesjacsNbO8ToGfZhgZlQldKjWVL3xM4WjjJbOSB5v79xvJp8cTmdKczvvHlbY4oOPYnV3LRX_VUUOvr4wxmHkUrn3G2LeZWt7IKcVi8Pk1EjNAhHuAQXtzreYkryI.sau7dTC_nqw5PoB5kmVpEEzQ2TRHMKe_JhJ8bVTb9so%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%26qid%3D1755843094%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=ZAZ,IFB,6,Grey,N/A,25490,34490,4,3777,26,51.8,59.8,87.5
"Haier 6 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load (HWM60-AE, Moonlight Silver)",https://www.amazon.in/Haier-Automatic-Pulsator-HWM60-AE-Titanium/dp/B0CC8P3J3L/ref=sr_1_3?dib=eyJ2IjoiMSJ9.BbLCQ_haOAIjuaBilY7hpuGJ1yvdbx41HltUgerfhTU6dlxAMvIYmGhCL5Eqml0JHINbf0o1-9Th6enUIRP05-He6C29R1BdC415WWrrmBMXpSesjacsNbO8ToGfZhgZlQldKjWVL3xM4WjjJbOSB5v79xvJp8cTmdKczvvHlbY4oOPYnV3LRX_VUUOvr4wxmHkUrn3G2LeZWt7IKcVi8Pk1EjNAhHuAQXtzreYkryI.sau7dTC_nqw5PoB5kmVpEEzQ2TRHMKe_JhJ8bVTb9so&dib_tag=se&keywords=washing+machine&qid=1755843094&sr=8-3,Haier,6,N/A,"Balance clean Pulsator, Magic filter, Oceanus Wave Drum",12490,22900,4.2,1267,45,54,52,93
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey (MAGIC CLEAN 7.0 GENX GREY 5YMW),https://www.amazon.in/Whirlpool-MAGIC-CLEAN-7-0-GENX/dp/B0DSBRDRDV/ref=sr_1_4?dib=eyJ2IjoiMSJ9.BbLCQ_haOAIjuaBilY7hpuGJ1yvdbx41HltUgerfhTU6dlxAMvIYmGhCL5Eqml0JHINbf0o1-9Th6enUIRP05-He6C29R1BdC415WWrrmBMXpSesjacsNbO8ToGfZhgZlQldKjWVL3xM4WjjJbOSB5v79xvJp8cTmdKczvvHlbY4oOPYnV3LRX_VUUOvr4wxmHkUrn3G2LeZWt7IKcVi8Pk1EjNAhHuAQXtzreYkryI.sau7dTC_nqw5PoB5kmVpEEzQ2TRHMKe_JhJ8bVTb9so&dib_tag=se&keywords=washing+machine&qid=1755843094&sr=8-4,Whirlpool,7,Grey,"12 Wash Program Hard Water Wash Aqua Store, 6th Sense Technology, Spiro Wash Technology",14990,19550,4,12913,23,58,55,85
"LG 7 Kg 5 Star Wind Jet Dry Semi-Automatic Top Loading Washing Machine (P7020NGAZ, Dark Gray, Rat Away Feature)",https://www.amazon.in/LG-P7020NGAZ-Fully-Automatic-Washing-Machine/dp/B09DD573SY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.BbLCQ_haOAIjuaBilY7hpuGJ1yvdbx41HltUgerfhTU6dlxAMvIYmGhCL5Eqml0JHINbf0o1-9Th6enUIRP05-He6C29R1BdC415WWrrmBMXpSesjacsNbO8ToGfZhgZlQldKjWVL3xM4WjjJbOSB5v79xvJp8cTmdKczvvHlbY4oOPYnV3LRX_VUUOvr4wxmHkUrn3G2LeZWt7IKcVi8Pk1EjNAhHuAQXtzreYkryI.sau7dTC_nqw5PoB5kmVpEEzQ2TRHMKe_JhJ8bVTb9so&dib_tag=se&keywords=washing+machine&qid=1755843094&sr=8-5,LG,7,Dark Gray,"Collar Scrubber, Normal Pulsator, Protective Rat Mesh, Rust Free Plastic Base, Wind Jet Dry",11490,16090,4.3,7161,29,48,81,98
"Godrej 7 Kg 5 Star, AI Powered, Fabrisafe Steel Drum, Magic Lint Filter, Fills Tub At ~0 Water Pressure, Fully-Automatic Top Load Washing Machine (WTEON ALP 70 5.0 FDUN GPGR, Graphite Grey)",https://www.amazon.in/Godrej-Fully-Automatic-WTEON-FDUN-GPGR/dp/B0F3DBMCBQ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.BbLCQ_haOAIjuaBilY7hpuGJ1yvdbx41HltUgerfhTU6dlxAMvIYmGhCL5Eqml0JHINbf0o1-9Th6enUIRP05-He6C29R1BdC415WWrrmBMXpSesjacsNbO8ToGfZhgZlQldKjWVL3xM4WjjJbOSB5v79xvJp8cTmdKczvvHlbY4oOPYnV3LRX_VUUOvr4wxmHkUrn3G2LeZWt7IKcVi8Pk1EjNAhHuAQXtzreYkryI.sau7dTC_nqw5PoB5kmVpEEzQ2TRHMKe_JhJ8bVTb9so&dib_tag=se&keywords=washing+machine&qid=1755843094&sr=8-6,Godrej,7,N/A,"3 Digit LED Display, Cycle End buzzer, Unbalance Sensor, Zero pressure technology, fabrisafe Drum",13990,27300,4,1496,49,56.5,56.5,93.2
"LG 7 Kg, 5 Star, Direct Drive Technology, Steam Wash, 6 Motion DD, Fully-Automatic Front Load Washing Machine (FHB1207Z2M, Allergy Care, In-Built Heater, Touch Panel, Middle Black)",https://www.amazon.in/LG-Technology-Fully-Automatic-Washing-FHB1207Z2M/dp/B0DG8RPQNS/ref=sr_1_7?dib=eyJ2IjoiMSJ9.BbLCQ_haOAIjuaBilY7hpuGJ1yvdbx41HltUgerfhTU6dlxAMvIYmGhCL5Eqml0JHINbf0o1-9Th6enUIRP05-He6C29R1BdC415WWrrmBMXpSesjacsNbO8ToGfZhgZlQldKjWVL3xM4WjjJbOSB5v79xvJp8cTmdKczvvHlbY4oOPYnV3LRX_VUUOvr4wxmHkUrn3G2LeZWt7IKcVi8Pk1EjNAhHuAQXtzreYkryI.sau7dTC_nqw5PoB5kmVpEEzQ2TRHMKe_JhJ8bVTb9so&dib_tag=se&keywords=washing+machine&qid=1755843094&sr=8-7,LG,7,N/A,"Auto Restart, Child Lock, High Efficiency, Hygiene Steam, Inverter",29990,44490,4.2,4797,33,44,60,85
"Samsung 8 kg, 5 star, Eco Bubble Tech, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray)",https://www.amazon.in/Samsung-Fully-Automatic-Ecobubble-WA80BG4441BGTL-Technology/dp/B0B8NK5HTH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.BbLCQ_haOAIjuaBilY7hpuGJ1yvdbx41HltUgerfhTU6dlxAMvIYmGhCL5Eqml0JHINbf0o1-9Th6enUIRP05-He6C29R1BdC415WWrrmBMXpSesjacsNbO8ToGfZhgZlQldKjWVL3xM4WjjJbOSB5v79xvJp8cTmdKczvvHlbY4oOPYnV3LRX_VUUOvr4wxmHkUrn3G2LeZWt7IKcVi8Pk1EjNAhHuAQXtzreYkryI.sau7dTC_nqw5PoB5kmVpEEzQ2TRHMKe_JhJ8bVTb9so&dib_tag=se&keywords=washing+machine&qid=1755843094&sr=8-8,Samsung,8,N/A,"Inverter, Water Level 5.00",19990,27000,4.1,27022,26,54,56.8,98.8
"LG 7 Kg 5 Star Smart Inverter Technology Fully Automatic Top Load Washing Machine (T70VBMB1Z, Auto Prewash, Turbodrum, Stainless Steel drum, LED Display, Smart Diagnosis Middle Black)",https://www.amazon.in/LG-Technology-Automatic-T70VBMB1Z-Turbodrum/dp/B0DPHT2HZL/ref=sr_1_9?dib=eyJ2IjoiMSJ9.BbLCQ_haOAIjuaBilY7hpuGJ1yvdbx41HltUgerfhTU6dlxAMvIYmGhCL5Eqml0JHINbf0o1-9Th6enUIRP05-He6C29R1BdC415WWrrmBMXpSesjacsNbO8ToGfZhgZlQldKjWVL3xM4WjjJbOSB5v79xvJp8cTmdKczvvHlbY4oOPYnV3LRX_VUUOvr4wxmHkUrn3G2LeZWt7IKcVi8Pk1EjNAhHuAQXtzreYkryI.sau7dTC_nqw5PoB5kmVpEEzQ2TRHMKe_JhJ8bVTb9so&dib_tag=se&keywords=washing+machine&qid=1755843094&sr=8-9,LG,7,Middle Black,"Auto Restart, Child Lock, High Efficiency, Inverter, LED Display",N/A,N/A,4.2,19230,N/A,56,54,88.5
"LG 9 Kg, 5 Star, AI Direct Drive Technology, Steam, 6 Motion DD & Wi-Fi Fully-Automatic Front Load Washing Machine (FHP1209Z5M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black)",https://www.amazon.in/LG-Inverter-Fully-Automatic-Washing-FHP1209Z5M/dp/B0C3LHV43S/ref=sr_1_10?dib=eyJ2IjoiMSJ9.BbLCQ_haOAIjuaBilY7hpuGJ1yvdbx41HltUgerfhTU6dlxAMvIYmGhCL5Eqml0JHINbf0o1-9Th6enUIRP05-He6C29R1BdC415WWrrmBMXpSesjacsNbO8ToGfZhgZlQldKjWVL3xM4WjjJbOSB5v79xvJp8cTmdKczvvHlbY4oOPYnV3LRX_VUUOvr4wxmHkUrn3G2LeZWt7IKcVi8Pk1EjNAhHuAQXtzreYkryI.sau7dTC_nqw5PoB5kmVpEEzQ2TRHMKe_JhJ8bVTb9so&dib_tag=se&keywords=washing+machine&qid=1755843094&sr=8-10,LG,9,N/A,N/A,38990,53990,4.2,4797,28,47.5,60,85
