title,brand,rating,reviews,price,original_price,discount,url
"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black  (RMSA705NNNDW)",,4.2,"85,791 Ratings & 7,629 Reviews","₹ 7,990","₹ 12,490",36% off,https://www.flipkart.com/realme-techlife-7-kg-5-star-rating-semi-automatic-top-load-washing-machine-white-black/p/itmc94e124668ec6?pid=WMNGBFX49DZJWFKZ&lid=LSTWMNGBFX49DZJWFKZKCTHM6&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_1&otracker=search&fm=organic&iid=en_TO_V4dGSceWD8IGmz-T41fODlWaNV98oiUvSExohmhTtGnLRmtpaUXjssrbBYc5Gb4SLIjPCECtl0KuyOuSs2_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
Thomson 7.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black  (TSA7500SP),Thomson,4.1,"25,404 Ratings & 2,196 Reviews",,,31% off,https://www.flipkart.com/thomson-7-5-kg-5-star-aqua-magic-semi-automatic-top-load-washing-machine-black/p/itme8d187d783edc?pid=WMNGR5WSESZZXFA4&lid=LSTWMNGR5WSESZZXFA4XW866G&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_2&otracker=search&fm=organic&iid=en_TO_V4dGSceWD8IGmz-T41fODlWaNV98oiUvSExohmhQr1OPTphSigJgDj5EtuAo8rT_zl-L7vaO7hNJCNbDSHA%3D%3D&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
Voltas Beko 8 kg Semi Automatic Top Load Washing Machine Blue  (WTT80UHA / OK5I0I0W01E),Voltas Beko,4.4,85 Ratings & 6 Reviews,,,52% off,https://www.flipkart.com/voltas-beko-8-kg-semi-automatic-top-load-washing-machine-blue/p/itm76bdcedd4c671?pid=WMNHCKYKZZRNFMH4&lid=LSTWMNHCKYKZZRNFMH4HWFJVN&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_3&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNHCKYKZZRNFMH4.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"Haier 7 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Automatic Top Load Washing Machine Brown, Grey  (HWM70-FE)",Haier,4.3,"66,143 Ratings & 7,703 Reviews","₹ 13,690","₹ 20,990",34% off,https://www.flipkart.com/haier-7-kg-balance-clean-pulsator-custom-wash-cycles-15-mins-quick-wash-magic-filter-fully-automatic-top-load-washing-machine-brown-grey/p/itm70c0d26236280?pid=WMNGFHFP4WG4PRVR&lid=LSTWMNGFHFP4WG4PRVRNYV3TD&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_4&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGFHFP4WG4PRVR.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"Haier 6.5 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Automatic Top Load Washing Machine Brown, Grey  (HWM65-FE)",Haier,4.3,"66,143 Ratings & 7,703 Reviews",,,34% off,https://www.flipkart.com/haier-6-5-kg-balance-clean-pulsator-custom-wash-cycles-15-mins-quick-wash-magic-filter-fully-automatic-top-load-washing-machine-brown-grey/p/itm2c899989a92d7?pid=WMNGFHFPD9KCRH7Y&lid=LSTWMNGFHFPD9KCRH7YJFXO8Y&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_5&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGFHFPD9KCRH7Y.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey  (RMSA755NNNDG)",,4.2,"85,791 Ratings & 7,629 Reviews","₹ 8,290","₹ 13,990",40% off,https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-semi-automatic-top-load-washing-machine-black-grey/p/itm16f231540f615?pid=WMNGATRJPSSNF4BN&lid=LSTWMNGATRJPSSNF4BNVZQWDR&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_6&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGATRJPSSNF4BN.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
Whirlpool 8 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey  (MAGIC CLEAN PRO SW H 8 KG GREY 10YMW),Whirlpool,4.1,"38,929 Ratings & 2,523 Reviews",,,29% off,https://www.flipkart.com/whirlpool-8-kg-fully-automatic-top-load-washing-machine-in-built-heater-grey/p/itm9fe0dcaaaf7bf?pid=WMNGVNUZPFXRCJAZ&lid=LSTWMNGVNUZPFXRCJAZAPNMN9&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_7&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGVNUZPFXRCJAZ.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
MOTOROLA 14 kg 5 star rating Midnight Series Soft closing Glass lid Semi Automatic Top Load Washing Machine Black  (MTSA1405NNNDB),,4.3,"13,054 Ratings & 1,099 Reviews","₹ 12,990","₹ 22,990",43% off,https://www.flipkart.com/motorola-14-kg-5-star-rating-midnight-series-soft-closing-glass-lid-semi-automatic-top-load-washing-machine-black/p/itmce932676c29ac?pid=WMNGYHCPB75QZZHS&lid=LSTWMNGYHCPB75QZZHSKVAD4W&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_8&otracker=search&fm=organic&iid=en_TO_V4dGSceWD8IGmz-T41fODlWaNV98oiUvSExohmhQjH24Ai3ux11UU0-0yDoPi6lW3wiK073wO4QFWGk2efuvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"Samsung 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey  (WA70BG4441YYTL)",Samsung,4.3,"91,370 Ratings & 6,027 Reviews",,,22% off,https://www.flipkart.com/samsung-7-kg-5-star-ecobubble-digital-inverter-fully-automatic-top-load-washing-machine-grey/p/itmfad620b791ea9?pid=WMNGGUWZK6VEQPXD&lid=LSTWMNGGUWZK6VEQPXDFXPMGF&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=default_FkPickId_j9e%2Fabm%2F8qx&srno=s_1_9&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGGUWZK6VEQPXD.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
"Samsung 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey  (WA80BG4441BGTL)",Samsung,4.3,"91,370 Ratings & 6,027 Reviews","₹ 19,500","₹ 27,000",27% off,https://www.flipkart.com/samsung-8-kg-5-star-ecobubble-digital-inverter-fully-automatic-top-load-washing-machine-grey/p/itmc6526adbb9164?pid=WMNGGUWZED7JAXZZ&lid=LSTWMNGGUWZED7JAXZZDTQNM9&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_10&otracker=search&fm=organic&iid=30bcb4c5-9c8b-4e34-a2ad-8f9e1c8bd5b5.WMNGGUWZED7JAXZZ.SEARCH&ppt=None&ppn=None&ssid=3i6eybio740000001756198882264&qH=b3522a5e7056c9c0
